    49   103  182816.6-041504   18.47129   -4.25122  4.80E-2  5.40E-2    0.16   0.08  12.5  1.5    2.4    0.7    0.8    1.1    0.3    0.4   5.8  starless            
    50   105  182817.1-035248   18.47142   -3.88022  4.80E-2  5.30E-2    0.26   0.11  10.7  1.0    3.0    1.1    1.3    1.4    0.4    0.6   3.7  starless            
    51   106  182818.3-015302   18.47176   -1.88397  2.50E-2  3.80E-2    0.11   0.05  11.5  4.5    1.2    0.9    2.0    0.7    0.5    1.7   4.6  starless            
    52   109  182821.6-035218   18.47269   -3.87178  1.80E-2  3.00E-2    0.06   0.03  11.5  4.5    0.9    0.8    2.3    0.5    0.6    2.7   5.7  starless            
    53   113  182824.1-041452   18.47339   -4.24781  2.60E-2  3.60E-2    0.11   0.06  11.5  4.5    7.6    1.0    1.9    4.3    0.6    1.6   4.6  starless            
    54   114  182825.1-024741   18.47364   -2.79486  4.20E-2  4.90E-2    0.16   0.08  11.5  4.5    1.8    0.8    1.1    0.9    0.4    0.6   5.0  starless            
    55   119  182830.7-034348   18.47520   -3.73000  1.50E-2  2.60E-2    0.06   0.03  11.5  4.5    0.8    1.0    3.2    0.5    0.9    4.7   4.9  starless            
    56   126  182839.9-015234   18.47776   -1.87617  4.20E-2  4.90E-2    0.13   0.07  11.5  4.5    1.7    0.6    0.9    0.8    0.3    0.5   6.3  starless            
    57   130  182845.8-014114   18.47939   -1.68739  2.30E-2  3.30E-2    0.08   0.04  11.5  4.5    1.1    0.9    1.7    0.6    0.6    1.6   5.8  starless            
    58   133  182847.7-014205   18.47993   -1.70150  4.40E-2  5.10E-2    0.17   0.12  14.2  2.9    2.9    0.8    1.0    1.4    0.3    0.5   5.1  starless            
    59   137  182851.9-004827   18.48110   -0.80767  8.60E-2  9.00E-2    0.39   0.07  13.3  0.6    1.6    0.6    0.6    0.5    0.1    0.2   4.4  starless            
    60   138  182853.9-020249   18.48166   -2.04717  1.90E-2  3.00E-2    0.07   0.02  16.5  1.6    1.4    1.0    2.5    0.9    0.7    3.0   5.0  starless            
    61   139  182856.6-020333   18.48241   -2.05931  7.20E-2  7.50E-2    0.41   0.15  15.9  1.6    2.1    0.9    0.9    0.8    0.2    0.3   3.5  starless            
    62   143  182858.3-014820   18.48288   -1.80561  3.20E-2  4.00E-2    0.11   0.06  11.5  4.5    1.5    0.8    1.3    0.8    0.5    0.9   5.7  starless            
    63   150  182903.0-020400   18.48417   -2.06669  2.10E-2  3.10E-2    0.03   0.02  17.1  2.5    0.5    0.4    0.8    0.3    0.2    0.9  14.3  starless            
    64   154  182905.1-021453   18.48476   -2.24814  3.60E-2  4.50E-2    0.16   0.08  11.5  4.5    1.7    0.9    1.4    0.9    0.5    0.9   4.5  starless            
    65   156  182906.0-013626   18.48501   -1.60742  8.50E-2  8.80E-2    0.56   0.28  11.5  4.5    2.7    0.9    0.9    0.9    0.2    0.2   3.0  starless            
    66   161  182907.6-014613   18.48546   -1.77042  1.90E-2  3.00E-2    0.05   0.02  11.5  4.5    0.8    0.6    1.6    0.5    0.5    1.8   7.8  starless            
    67   172  182912.7-014321   18.48688   -1.72256  2.50E-2  3.50E-2    0.05   0.06  13.8  3.4    1.8    0.4    0.9    1.0    0.3    0.7  10.6  starless            
    68   173  182913.0-030516   18.48694   -3.08792  2.00E-2  3.20E-2    0.04   0.02  13.2  1.5    0.5    0.4    1.1    0.3    0.3    1.2  10.8  starless            
    69   175  182913.8-015334   18.48719   -1.89281  1.40E-2  2.60E-2    0.06   0.03  11.5  4.5    0.9    1.0    3.4    0.6    0.8    5.3   5.0  starless            
    70   178  182915.1-034305   18.48753   -3.71828  2.10E-2  3.20E-2    0.09   0.04  11.5  4.5    1.2    1.0    2.5    0.7    0.7    2.6   4.6  starless            
    71   179  182915.1-011147   18.48755   -1.19644  8.10E-2  8.40E-2    0.45   0.27  13.8  2.4    2.5    0.8    0.8    0.8    0.2    0.2   3.5  starless            
    72   184  182918.7-033846   18.48853   -3.64633  4.50E-2  5.20E-2    0.21   0.11  11.5  4.5    1.9    0.9    1.2    0.9    0.4    0.6   4.2  starless            
    73   186  182918.7-013303   18.48854   -1.55097  2.10E-2  3.20E-2    0.07   0.04  11.5  4.5    1.2    0.9    2.0    0.7    0.6    2.2   5.5  starless            
    74   187  182919.0-022253   18.48861   -2.38164  4.80E-2  5.30E-2    0.09   0.05  14.5  4.5    1.6    0.4    0.5    0.7    0.2    0.2  10.1  starless            
    75   190  182919.8-020127   18.48884   -2.02433  2.20E-2  3.40E-2    0.09   0.08  13.1  3.0    1.4    0.9    2.1    0.8    0.6    2.0   5.0  starless            
    76   193  182920.4-025526   18.48901   -2.92411  5.10E-2  5.60E-2    0.21   0.11  11.5  4.5    1.8    0.8    1.0    0.8    0.3    0.4   4.7  starless            
    77   203  182923.7-011708   18.48992   -1.28567  4.00E-2  4.60E-2    0.13   0.07  11.5  4.5    1.6    0.7    1.0    0.8    0.3    0.5   6.1  starless            
    78   206  182924.4-042554   18.49013   -4.43178  2.30E-2  3.30E-2    0.06   0.03  11.5  4.5    0.8    0.7    1.5    0.5    0.5    1.4   7.0  starless            
    79   208  182925.4-014605   18.49039   -1.76808  4.60E-2  5.20E-2    0.24   0.12  11.5  4.5    2.7    1.0    1.4    1.3    0.4    0.6   3.8  starless            
    80   210  182925.9-030924   18.49054   -3.15672  3.00E-2  4.00E-2    0.11   0.04  14.3  1.0    1.4    0.8    1.5    0.8    0.5    1.1   5.2  starless            
    81   214  182926.9-014641   18.49081   -1.77808  1.10E-2  2.30E-2    0.04   0.04  13.2  3.3    1.4    0.8    3.3    0.9    0.8    6.3   6.2  starless            
    82   215  182927.9-015237   18.49108   -1.87694  2.30E-2  3.50E-2    0.07   0.04  11.5  4.5    1.1    0.7    1.6    0.6    0.5    1.5   6.3  starless            
    83   218  182929.2-014501   18.49146   -1.75042  4.10E-2  4.70E-2    0.14   0.07  11.5  4.5    2.5    0.7    1.0    1.2    0.3    0.5   5.9  starless            
    84   226  182934.3-014240   18.49286   -1.71125  5.40E-2  5.90E-2    0.28   0.14  11.5  4.5    2.6    0.9    1.1    1.1    0.3    0.4   3.9  starless            
    85   229  182934.4-021435   18.49290   -2.24311  2.10E-2  3.20E-2    0.03   0.01  11.5  4.5    0.7    0.3    0.7    0.4    0.2    0.8  15.1  starless            
    86   230  182935.5-023320   18.49321   -2.55578  5.00E-2  5.50E-2    0.16   0.10  16.3  3.6    1.5    0.6    0.8    0.7    0.3    0.3   6.1  starless            
    87   232  182935.8-034416   18.49329   -3.73783  3.60E-2  4.30E-2    0.16   0.10  12.4  2.0    2.6    1.0    1.5    1.3    0.5    0.9   4.3  starless            
    88   233  182936.2-034519   18.49340   -3.75547  6.20E-2  6.70E-2    0.26   0.11  13.0  1.5    2.9    0.7    0.8    1.1    0.2    0.3   4.7  starless            
    89   236  182937.2-015559   18.49369   -1.93319  2.00E-2  3.10E-2    0.05   0.02  11.5  4.5    0.9    0.6    1.5    0.5    0.4    1.7   7.9  starless            
    90   238  182937.4-021345   18.49374   -2.22928  2.00E-2  3.00E-2    0.07   0.03  11.5  4.5    8.1    0.9    2.2    4.9    0.6    2.4   5.5  starless            
